plot_id,user_id,location_id,plot_name,area_sq_m,soil_type,sunlight_exposure,is_active
424,8,2,East Field 29,940.71,Silty,Full Shade,0
425,1,10,Succulent Bed 35,363.69,Sandy,Partial Sun,1
426,7,10,West Orchard 3,585.97,Loamy,Partial Shade,1
427,8,3,Blueberry Plot 47,434.28,Sandy,Partial Shade,1
428,8,10,Cactus Corner 36,610.06,Loamy,Partial Sun,0
429,7,3,Test Strip 9,603.52,Loamy,Partial Shade,0
430,6,3,Community Bed B 10,387.55,Sandy,Partial Sun,1
431,6,2,Green Roof Bed 42,795.67,Silty,Partial Sun,1
432,8,1,Blueberry Plot 50,444.99,Silty,Partial Shade,1
433,7,9,Hydroponic Trial 14,990.4,Loamy,Full Shade,0
434,3,4,Hydroponic Trial 28,413.68,Clay,Full Sun,1
435,4,4,Wildflower Strip 11,782.57,Clay,Full Shade,0
436,4,4,Community Bed B 50,881.05,Silty,Full Shade,1
437,1,7,Compost Test Plot 48,901.22,Loamy,Full Sun,0
438,8,10,North Orchard 8,283.11,Clay,Full Shade,1
439,5,8,Flower Research 44,478.56,Gravelly,Partial Sun,1
440,9,6,Community Bed A 31,626.0,Silty,Full Shade,0
441,5,2,Flower Research 14,190.31,Peaty,Full Shade,0
442,2,7,Rain Garden 15,856.78,Clay,Partial Sun,0
443,6,8,Compost Test Plot 34,977.3,Sandy,Full Sun,0
444,8,5,Hydroponic Trial 22,153.29,Clay,Partial Sun,0
445,2,4,Rose Garden 19,518.41,Clay,Partial Sun,0
446,7,4,Cactus Corner 14,492.46,Silty,Partial Shade,1
447,9,7,South Field 26,705.57,Peaty,Full Shade,0
448,3,6,Tulip Rows 10,217.07,Silty,Partial Sun,1
449,8,1,Grass Restoration 41,474.61,Loamy,Partial Shade,1
450,5,10,Vegetable Patch 32,393.5,Artificial,Full Sun,1
451,1,1,Community Bed B 11,993.18,Gravelly,Full Shade,0
452,1,7,Cactus Corner 6,385.54,Artificial,Partial Shade,1
453,9,8,Flower Research 20,347.65,Artificial,Partial Sun,1
454,8,10,Cactus Corner 15,157.31,Clay,Full Sun,0
455,5,7,Medicinal Herbs 25,289.93,Gravelly,Partial Sun,1
456,5,6,Green Roof Bed 22,916.12,Sandy,Partial Sun,1
457,7,4,Flower Research 41,214.83,Loamy,Full Sun,1
458,6,4,Central Plot 25,728.9,Gravelly,Full Sun,0
459,7,3,Cactus Corner 40,979.52,Loamy,Partial Sun,0
460,4,2,South Field 26,475.76,Gravelly,Partial Sun,1
461,4,3,Experiment Zone 37,25.91,Artificial,Full Sun,0
462,6,5,East Field 9,602.59,Sandy,Partial Sun,1
463,2,6,Tree Nursery 17,232.97,Peaty,Full Sun,0
464,10,2,Cactus Corner 22,505.67,Silty,Full Shade,0
465,4,6,Herb Spiral 32,29.0,Artificial,Full Sun,1
466,6,9,Rain Garden 20,971.56,Sandy,Partial Sun,1
467,7,4,Rose Garden 26,331.22,Clay,Partial Sun,0
468,10,2,Experiment Zone 3,702.43,Silty,Full Shade,0
469,5,1,Grass Restoration 17,903.8,Artificial,Partial Shade,1
470,6,9,Community Bed A 1,694.15,Silty,Full Shade,0
471,6,3,West Orchard 38,688.77,Clay,Full Shade,0
472,1,9,Medicinal Herbs 17,21.54,Sandy,Full Shade,1
473,10,4,Experiment Zone 22,460.93,Artificial,Partial Sun,0
474,4,5,Succulent Bed 26,434.47,Silty,Partial Sun,1
475,1,6,Green Roof Bed 10,133.03,Peaty,Partial Sun,1
476,8,1,Fungi Patch 31,446.67,Artificial,Partial Sun,0
477,9,3,Central Plot 38,457.39,Gravelly,Full Sun,1
478,5,7,Test Strip 49,754.13,Loamy,Full Shade,0
479,6,8,Experimental Plot 23,301.37,Loamy,Full Sun,1
480,1,1,Flower Research 32,966.44,Artificial,Full Sun,0
481,8,9,Test Strip 1,751.0,Artificial,Full Sun,0
482,9,2,Fungi Patch 31,747.82,Clay,Full Sun,0
483,10,6,Succulent Bed 46,840.67,Artificial,Partial Sun,0
484,9,7,Medicinal Herbs 13,262.42,Silty,Partial Shade,0
485,1,7,Front Lawn 10,846.67,Sandy,Partial Sun,1
486,6,3,Herb Spiral 8,955.21,Clay,Partial Shade,0
487,9,6,Compost Test Plot 50,61.65,Clay,Partial Shade,1
488,4,6,Grass Restoration 7,176.14,Artificial,Full Shade,0
489,10,6,Vegetable Patch 45,464.99,Peaty,Partial Sun,1
490,8,7,Experiment Zone 50,496.6,Clay,Full Shade,1
491,1,5,Tree Nursery 26,170.11,Artificial,Partial Sun,0
492,4,4,Experiment Zone 41,921.02,Sandy,Partial Shade,1
493,10,4,West Orchard 44,201.44,Loamy,Full Shade,1
494,3,5,North Orchard 3,244.33,Silty,Full Shade,1
495,4,9,Experiment Zone 2,227.56,Gravelly,Partial Shade,0
496,9,5,Central Plot 4,241.58,Sandy,Partial Shade,1
497,1,1,Wildflower Strip 5,114.36,Gravelly,Partial Sun,1
498,9,6,East Field 24,42.32,Loamy,Full Shade,0
499,3,10,Hydroponic Trial 16,614.17,Loamy,Partial Sun,1
500,9,1,Green Roof Bed 29,402.84,Silty,Full Sun,0
