common_name,scientific_name,ideal_soil,sun_req,water_req,usda_zone_min,usda_zone_max
Trifolium pratense,Trifolium pratense,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Artemisia dracunculus,Artemisia dracunculus,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",5.0,8.0
Fagopyrum esculentum,Fagopyrum esculentum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",6.0,12.0
Origanum vulgare,Origanum vulgare,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,10.0
Carum carvi,Carum carvi,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,9.0
Lupinus albus,Lupinus albus,"Light (sandy), Medium",Full sun,Moist,,
Pimpinella anisum,Pimpinella anisum,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Sarcocornia pacifica,Sarcocornia pacifica,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solanum nigrum,Solanum nigrum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",9.0,11.0
Solanum muricatum,Solanum muricatum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Solanum quitoense,Solanum quitoense,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,10.0,12.0
Jurubeba,Solanum paniculatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Solanum phureja,Solanum phureja,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Solanum lyratum,Solanum lyratum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solanum maglia,Solanum maglia,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solanum piliferum,Solanum piliferum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Simarouba glauca,Simarouba glauca,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",9.0,12.0
Silphium laciniatum,Silphium laciniatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Silphium perfoliatum,Silphium perfoliatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Silphium terebinthinaceum,Silphium terebinthinaceum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Silene vulgaris,Silene vulgaris,"Light (sandy), Medium",Full sun,Moist,5.0,9.0
Silphium integrifolium,Silphium integrifolium,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Sinofranchetia chinensis,Sinofranchetia chinensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sinomenium acutum,Sinomenium acutum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Silphium laeve,Silphium laeve,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Rubus roseus,Rubus roseus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Rubus trifidus,Rubus trifidus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Rubus rosa,Rubus rosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Rubus thibetanus,Rubus thibetanus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Rubus tsangorum,Rubus tsangorum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Rubus ostryfolius,Rubus ostryfolius,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Rubus rhamnifolius,Rubus rhamnifolius,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Rubus thyrsanthus,Rubus thyrsanthus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Rubus rubiginosus,Rubus rubiginosus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Rubus radicans,Rubus radicans,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Salix viminalis,Salix viminalis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salvia apiana,Salvia apiana,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Salix triandra,Salix triandra,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix x smithiana,Salix x smithiana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix x rubra,Salix x rubra,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix x mollisima undulata,Salix x mollisima undulata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix x mollisima hippophaeifolia,Salix x mollisima hippophaeifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix wallichiana,Salix wallichiana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Sarcocornia utahensis,Sarcocornia utahensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Salix alba,Salix alba,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",2.0,8.0
Salix alba vitellina,Salix alba vitellina,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix alba caerulea,Salix alba caerulea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix amygdaloides,Salix amygdaloides,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix acutifolia,Salix acutifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix alaxensis,Salix alaxensis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",3.0,7.0
Salix aegyptiaca,Salix aegyptiaca,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix 'Americana',Salix 'Americana',"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salicornia virginica,Salicornia virginica,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Salvia mellifera,Salvia mellifera,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Salvia moorcroftiana,Salvia moorcroftiana,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Salvia lanata,Salvia lanata,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Salvia japonica,Salvia japonica,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",7.0,10.0
Salvia lanigera,Salvia lanigera,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Dwarf Elder,Sambucus ebulus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Mexican Elder,Sambucus mexicana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,9.0
Black Elder,Sambucus melanocarpa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Chinese Elder,Sambucus javanica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
White Elder,Sambucus gaudichaudiana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sambucus chinensis,Sambucus chinensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Red Elder,Sambucus microbotrys,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sambucus latipinna,Sambucus latipinna,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sapium sebiferum,Sapium sebiferum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Yucca schidigera,Yucca schidigera,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",9.0,10.0
Santolina chamaecyparissus,Santolina chamaecyparissus,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Sapindus mukorossi,Sapindus mukorossi,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,12.0
Santalum yasi,Santalum yasi,"Light (sandy), Medium",Full sun,"Dry, Moist",9.0,12.0
Sapindus drummondii,Sapindus drummondii,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Saponaria ocymoides,Saponaria ocymoides,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",2.0,7.0
Sapindus marginatus,Sapindus marginatus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Talisia esculenta,Talisia esculenta,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Solanum torvum,Solanum torvum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Solanum scabrum,Solanum scabrum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Solanum simile,Solanum simile,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,11.0
Solanum stenotomum goniocalyx,Solanum stenotomum goniocalyx,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum stenotomum,Solanum stenotomum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum sisymbriifolium,Solanum sisymbriifolium,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum rybinii,Solanum rybinii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum septemlobum,Solanum septemlobum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum retroflexum,Solanum retroflexum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Smilax aspera,Smilax aspera,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Smilax bona-nox,Smilax bona-nox,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax auriculata,Smilax auriculata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Smilax aristolochiifolia,Smilax aristolochiifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Smilacina racemosa,Smilacina racemosa,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,2.0,8.0
Spergula arvensis,Spergula arvensis,"Light (sandy), Medium",Full sun,Moist,,
Smilacina purpurea,Smilacina purpurea,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,,
Spartina x townsendii,Spartina x townsendii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Spartina pectinata,Spartina pectinata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",4.0,8.0
Salix hybrids,Salix hybrids,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",2.0,11.0
Rubus odoratus,Rubus odoratus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Salix lasiolepis,Salix lasiolepis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix gracilistyla,Salix gracilistyla,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Smilax china,Smilax china,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sophora flavescens,Sophora flavescens,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Sonchus oleraceus,Sonchus oleraceus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Sonchus arvensis,Sonchus arvensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sophora davidii,Sophora davidii,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,8.0
Sonchus asper,Sonchus asper,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sonchus brachyotus,Sonchus brachyotus,"Light (sandy), Medium, Heavy (clay)",,Moist,,
Sonchus tenerrimus,Sonchus tenerrimus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sonchus kirkii,Sonchus kirkii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Salix nigra,Salix nigra,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix purpurea lambertiana,Salix purpurea lambertiana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix scouleriana,Salix scouleriana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix sitchensis,Salix sitchensis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix repens,Salix repens,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Salix pulchra,Salix pulchra,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix taxifolia,Salix taxifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",9.0,11.0
Salix sungkianika,Salix sungkianika,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix schwerinii,Salix schwerinii,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salvia verbenaca,Salvia verbenaca,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,9.0
Salicornia europaea,Salicornia europaea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Salvia viridis,Salvia viridis,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Salvia sylvestris,Salvia sylvestris,"Light (sandy), Medium",Full sun,"Dry, Moist",4.0,8.0
Salvia tiliifolia,Salvia tiliifolia,"Light (sandy), Medium",Full sun,"Dry, Moist",9.0,11.0
Salvia tomentosa,Salvia tomentosa,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,9.0
Salicornia bigelovii,Salicornia bigelovii,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Salicornia rubra,Salicornia rubra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Salicornia quinqueflora,Salicornia quinqueflora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Salix caprea,Salix caprea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist, Wet",4.0,9.0
Salix eriocephala,Salix eriocephala,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix exigua,Salix exigua,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix daphnoides,Salix daphnoides,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix cinerea,Salix cinerea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",2.0,7.0
Salix chaenomeloides,Salix chaenomeloides,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",6.0,8.0
Salix commutata,Salix commutata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",4.0,8.0
Salix decipiens,Salix decipiens,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Yellow Elderberry,Sambucus australasica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Yucca baccata,Yucca baccata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",6.0,11.0
Santalum austrocaledonicum,Santalum austrocaledonicum,"Light (sandy), Medium",Full sun,"Dry, Moist",10.0,12.0
Pitcher Plant,Sarracenia purpurea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Wet,4.0,9.0
Sarcobatus vermiculatus,Sarcobatus vermiculatus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Santalum acuminatum,Santalum acuminatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Yellow Trumpet,Sarracenia flava,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Wet,6.0,9.0
Salix hastata,Salix hastata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix lanata,Salix lanata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix koriyanagi,Salix koriyanagi,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix japonica,Salix japonica,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salvia sclarea,Salvia sclarea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,9.0
Salvia multiorrhiza,Salvia multiorrhiza,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,9.0
Salvia pomifera,Salvia pomifera,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Salvia pratensis,Salvia pratensis,"Light (sandy), Medium",Full sun,"Dry, Moist",3.0,7.0
Salvia plebeia,Salvia plebeia,"Light (sandy), Medium",Full sun,"Moist, Wet",,
Salvia multicaulis,Salvia multicaulis,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Salvia reflexa,Salvia reflexa,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Salvia stachyoides,Salvia stachyoides,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Sambucus nigra spp canadensis,Sambucus nigra spp canadensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,9.0
Sambucus racemosa,Sambucus racemosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Sambucus racemosa kamtschatica,Sambucus racemosa kamtschatica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Sambucus pubens,Sambucus pubens,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Elder,Sambucus wightiana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Red Coast Elder,Sambucus racemosa var. racemosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Sambucus williamsii,Sambucus williamsii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Sambucus racemosa sieboldiana,Sambucus racemosa sieboldiana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solanum aethiopicum,Solanum aethiopicum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Solanum ajanhuiri,Solanum ajanhuiri,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,9.0,11.0
Salsola kali,Salsola kali,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Santolina rosmarinifolia,Santolina rosmarinifolia,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,10.0
Santolina pinnata neopolitana,Santolina pinnata neopolitana,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Salsola soda,Salsola soda,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Salsola collina,Salsola collina,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Salsola tragus,Salsola tragus,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Salsola komarovii,Salsola komarovii,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Solanum vescum,Solanum vescum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Solidago canadensis scabra,Solidago canadensis scabra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Solanum triflorum,Solanum triflorum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Solidago leavenworthii,Solidago leavenworthii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solidago gigantea,Solidago gigantea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Solidago fistulosa,Solidago fistulosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Solidago japonica,Solidago japonica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Soldanella alpina,Soldanella alpina,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,Moist,4.0,8.0
Salix fragilis,Salix fragilis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Salix miyabeana,Salix miyabeana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",5.0,9.0
Salix pentandra,Salix pentandra,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",2.0,5.0
Salix matsudana,Salix matsudana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",4.0,8.0
Shining Willow,Salix lucida,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix piperi,Salix piperi,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix lucida lasiandra,Salix lucida lasiandra,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix nipponica,Salix nipponica,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salix petiolaris,Salix petiolaris,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",,
Salvia hispanica,Salvia hispanica,"Light (sandy), Medium",Full sun,"Dry, Moist",8.0,11.0
Salvia lavandulifolia,Salvia lavandulifolia,"Light (sandy), Medium",Full sun,"Dry, Moist",4.0,8.0
Cancer Weed,Salvia lyrata,"Light (sandy), Medium","Partial sun/shade, Full sun","Dry, Moist",4.0,9.0
Salvia microphylla,Salvia microphylla,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Salix gooddingii,Salix gooddingii,"Light (sandy), Medium, Heavy (clay)",Full sun,"Moist, Wet",8.0,10.0
Trichilia dregeana,Trichilia dregeana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Skimmia laureola,Skimmia laureola,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Sophora tonkinensis,Sophora tonkinensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Skimmia japonica,Skimmia japonica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,6.0,7.0
Trichosanthes cucumerina anguina,Trichosanthes cucumerina anguina,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Sophora moorcroftiana,Sophora moorcroftiana,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Sophora sericea,Sophora sericea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",,
Acacia holosericea,Acacia holosericea,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Acacia colei,Acacia colei,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Acacia dealbata,Acacia dealbata,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Acacia mearnsii,Acacia mearnsii,"Light (sandy), Medium",Full sun,Moist,8.0,11.0
Acacia farnesiana,Acacia farnesiana,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",9.0,11.0
Acacia leucophloea,Acacia leucophloea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Acacia koa,Acacia koa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Acacia longifolia,Acacia longifolia,Light (sandy),Full sun,"Dry, Moist",10.0,11.0
Koai'a,Acacia koaia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Acacia decurrens,Acacia decurrens,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Adansonia digitata,Adansonia digitata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Anacardium occidentale,Anacardium occidentale,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,12.0
Albizia procera,Albizia procera,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Caryocar brasiliense,Caryocar brasiliense,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Artemisia scoparia,Artemisia scoparia,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,7.0
Eleutherococcus gracylistylus,Eleutherococcus gracylistylus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Eleutherococcus divaricatus,Eleutherococcus divaricatus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Eleutherococcus japonicus,Eleutherococcus japonicus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Eleutherococcus innovans,Eleutherococcus innovans,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,9.0
Falcataria moluccana,Falcataria moluccana,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Gaultheria adenothrix,Gaultheria adenothrix,"Light (sandy), Medium","Partial sun/shade, Full shade",Moist,8.0,11.0
Actinidia asymmetrica,Actinidia asymmetrica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia callosa henryi,Actinidia callosa henryi,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Actinidia arguta rufa,Actinidia arguta rufa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinea acaulis arizonica,Actinea acaulis arizonica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia melanandra,Actinidia melanandra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Wolfbane,Aconitum lycoctonum vulparia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,3.0,7.0
Actinidia maloides,Actinidia maloides,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia latifolia,Actinidia latifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia lanceolata,Actinidia lanceolata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Actinidia longicauda,Actinidia longicauda,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Aconitum maximum,Aconitum maximum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Aconitum multifidum,Aconitum multifidum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Aconitum mokchangense,Aconitum mokchangense,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Actinidia polygama,Actinidia polygama,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Actinidia purpurea,Actinidia purpurea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
